t_ns,mx,my,mz,bx,by,bz
15858678594988,35.49375,33.768753,-5.6625004,21.779999,6.48,20.76
15858688594988,34.125,33.7125,-7.0312505,21.779999,6.48,20.76
15858698594988,33.975002,33.80625,-6.5625005,21.779999,6.48,20.76
15858708594988,33.6375,32.756252,-6.3375,21.779999,6.48,20.76
15858718594988,33.9,33.300003,-6.8437505,21.779999,6.48,20.76
15858728594988,32.662502,32.756252,-4.6875,21.779999,6.48,20.76
15858738594988,33.075,34.2,-5.2312503,21.779999,6.48,20.76
15858748594988,35.0625,34.706253,-6.5625005,21.779999,6.48,20.76
15858758594988,33.975002,32.8125,-6.99375,21.779999,6.48,20.76
15858768594988,35.9625,34.706253,-5.4375,21.779999,6.48,20.76
15858778594988,33.825,34.29375,-4.1062503,21.779999,6.48,20.76
15858788594988,34.237503,34.612503,-5.7000003,21.779999,6.48,20.76
15858798594988,34.29375,34.612503,-7.5375004,21.779999,6.48,20.76
15858808594988,32.86875,32.662502,-6.8625,21.779999,6.48,20.76
15858818594988,35.8875,33.825,-7.8562503,21.779999,6.48,20.76
15858828594988,32.79375,32.4,-6.2250004,21.779999,6.48,20.76
15858838594988,33.54375,33.506252,-4.2000003,21.779999,6.48,20.76
15858848594988,32.775,33.412502,-5.34375,21.779999,6.48,20.76
15858858594988,31.9125,33.787502,-5.08125,21.779999,6.48,20.76
15858868594988,32.006252,33.300003,-6.0,21.779999,6.48,20.76
15858878594988,32.8125,33.65625,-4.7250004,21.779999,6.48,20.76
15858888594988,33.600002,33.506252,-6.20625,21.779999,6.48,20.76
15858898594988,33.787502,33.65625,-6.3750005,21.779999,6.48,20.76
15858908594988,34.256252,35.60625,-5.8875003,21.779999,6.48,20.76
15858918594988,33.675003,32.4,-4.5,21.779999,6.48,20.76
15858928594988,33.9375,34.55625,-5.9625,21.779999,6.48,20.76
15858938594988,33.693752,32.1375,-6.4875,21.779999,6.48,20.76
15858948594988,31.1625,31.556252,-3.24375,21.779999,6.48,20.76
15858958594988,31.0125,34.050003,-4.8375,21.779999,6.48,20.76
15858968594988,32.550003,33.0,-4.8375,21.779999,6.48,20.76
15858978594988,31.25625,32.568752,-5.4375,21.779999,6.48,20.76
15858988594988,33.46875,33.99375,-4.36875,21.779999,6.48,20.76
15858998594988,32.5875,35.268753,-4.2937503,21.779999,6.48,20.76
15859008594988,33.375,32.100002,-6.4500003,21.779999,6.48,20.76
15859018594988,32.568752,33.0,-5.45625,21.779999,6.48,20.76
15859028594988,33.45,32.86875,-4.78125,21.779999,6.48,20.76
15859038594988,33.6375,33.768753,-5.7562504,21.779999,6.48,20.76
15859048594988,34.706253,31.650002,-6.58125,21.779999,6.48,20.76
15859058594988,33.600002,33.506252,-5.7375,21.779999,6.48,20.76
15859068594988,34.893753,33.80625,-6.05625,21.779999,6.48,20.76
15859078594988,33.112503,33.1875,-6.7500005,21.779999,6.48,20.76
15859088594988,33.0,33.300003,-7.6687503,21.779999,6.48,20.76
