t_ns,gx,gy,gz,bx,by,bz
15885372014288,0.039095346,0.17348559,-0.050090913,-0.0120037,8.72664E-5,0.0070713
15885374393455,-0.014660755,0.18203771,-0.06352994,-0.0120037,8.72664E-5,0.0070713
15885376772622,-0.10140356,0.13683371,-0.041538805,-0.0120037,8.72664E-5,0.0070713
15885379151788,-0.13805544,0.12828161,-0.032986697,-0.0120037,8.72664E-5,0.0070713
15885381530955,-0.091629714,0.07696896,-0.0073303776,-0.0120037,8.72664E-5,0.0070713
15885383910122,-0.015882485,0.046425723,0.0061086477,-0.0120037,8.72664E-5,0.0070713
15885386289236,0.02687805,0.017104214,0.02443459,-0.0120037,8.72664E-5,0.0070713
15885388668403,0.008552107,-0.0097738365,0.034208428,-0.0120037,8.72664E-5,0.0070713
15885391047570,-0.05986475,-0.047647454,0.04886918,-0.0120037,8.72664E-5,0.0070713
15885393426736,-0.09040799,-0.04886918,0.046425723,-0.0120037,8.72664E-5,0.0070713
15885395805903,-0.10140356,-0.05864302,0.046425723,-0.0120037,8.72664E-5,0.0070713
15885398185070,-0.06108648,-0.0537561,0.036651887,-0.0120037,8.72664E-5,0.0070713
15885400564236,-0.040317077,-0.03176497,0.02565632,-0.0120037,8.72664E-5,0.0070713
15885402943403,-0.036651887,-0.035430156,0.02565632,-0.0120037,8.72664E-5,0.0070713
15885405322570,-0.05864302,0.008552107,0.0073303776,-0.0120037,8.72664E-5,0.0070713
15885407701736,-0.02687805,0.023212861,-0.0012217296,-0.0120037,8.72664E-5,0.0070713
15885410080903,-0.06597339,0.06963859,-0.02932151,-0.0120037,8.72664E-5,0.0070713
15885412460070,-0.08307761,0.074525505,-0.02565632,-0.0120037,8.72664E-5,0.0070713
15885414839236,-0.12339468,0.11362085,-0.043982264,-0.0120037,8.72664E-5,0.0070713
15885417218403,-0.13316852,0.08918626,-0.03176497,-0.0120037,8.72664E-5,0.0070713
15885419597570,-0.091629714,0.1075122,-0.035430156,-0.0120037,8.72664E-5,0.0070713
15885421976736,-0.010995566,0.07208204,-0.017104214,-0.0120037,8.72664E-5,0.0070713
15885424355903,0.014660755,0.06597339,-0.012217295,-0.0120037,8.72664E-5,0.0070713
15885426735070,-0.020769402,0.008552107,0.020769402,-0.0120037,8.72664E-5,0.0070713
15885429114236,-0.10140356,0.012217295,0.017104214,-0.0120037,8.72664E-5,0.0070713
15885431493403,-0.16982041,-0.041538805,0.039095346,-0.0120037,8.72664E-5,0.0070713
15885433872570,-0.14172062,-0.034208428,0.036651887,-0.0120037,8.72664E-5,0.0070713
15885436251684,-0.028099779,-0.07208204,0.05131264,-0.0120037,8.72664E-5,0.0070713
15885438630851,0.04886918,-0.050090913,0.041538805,-0.0120037,8.72664E-5,0.0070713
15885441010018,0.039095346,-0.06597339,0.046425723,-0.0120037,8.72664E-5,0.0070713
15885443389132,-0.0012217296,-0.034208428,0.021991132,-0.0120037,8.72664E-5,0.0070713
15885445768351,-0.07819069,-0.02687805,0.014660755,-0.0120037,8.72664E-5,0.0070713
