t_ns,qx,qy,qz,qw
15857282313478,0.37223747,0.39572406,0.5856826,0.60151285
15857287071915,0.37238875,0.3956591,0.58572966,0.60141605
15857291830301,0.37252453,0.39560026,0.5857625,0.6013386
15857296588634,0.37262675,0.39557314,0.58578175,0.60127443
15857301347019,0.37270904,0.39559013,0.5857759,0.6012179
15857306105405,0.37276113,0.39563423,0.5857496,0.6011822
15857310863790,0.37278634,0.39568663,0.58571374,0.60116714
15857315622124,0.37280667,0.39576483,0.58565426,0.60116094
15857320380509,0.3728293,0.3958463,0.58558923,0.60115665
15857325138894,0.37284216,0.39591223,0.58553237,0.6011606
15857329897280,0.37285477,0.39597756,0.5854778,0.6011629
15857334655613,0.372864,0.3960441,0.58542436,0.6011655
15857339413999,0.37286377,0.39611912,0.58537036,0.60116863
15857344172384,0.3728477,0.3961833,0.5853282,0.60117733
15857348930717,0.37280956,0.3962635,0.58527964,0.60119545
15857353689103,0.37275422,0.39635742,0.5852247,0.60122144
15857358447488,0.37267068,0.3964535,0.5851671,0.6012659
15857363205874,0.3725705,0.39654452,0.5851069,0.60132647
15857367964207,0.37246865,0.3966423,0.5850383,0.60139185
15857372722592,0.3723753,0.39672375,0.5849733,0.6014592
15857377480978,0.37228408,0.39678013,0.5849212,0.6015292
15857382239363,0.3721994,0.39682359,0.5848789,0.60159403
15857386997696,0.37211996,0.39685082,0.58485836,0.6016452
15857391756082,0.37204295,0.39685908,0.5848451,0.6017002
15857396514467,0.3719639,0.39685673,0.58484584,0.6017499
15857401272801,0.37188146,0.3968573,0.5848488,0.6017976
15857406031186,0.37178984,0.39686754,0.5848509,0.6018454
15857410789571,0.37167525,0.39688045,0.58485156,0.6019071
15857415547957,0.3715508,0.39690122,0.58484936,0.60197234
15857420306290,0.37141997,0.396907,0.5848512,0.60204744
15857425064676,0.37129495,0.39689502,0.5848612,0.6021227
15857429823061,0.3711844,0.39686415,0.5848764,0.60219646
15857434581446,0.3710859,0.39681727,0.5849023,0.6022629
15857439339780,0.3709914,0.39676723,0.58493036,0.60232687
15857444098165,0.37089452,0.39671195,0.5849733,0.6023812
15857448856551,0.37078813,0.3966686,0.5850153,0.6024345
15857453614884,0.37068176,0.39663604,0.58505607,0.60248184
15857458373269,0.37056547,0.39660817,0.58509374,0.60253507
15857463131655,0.37044096,0.39658996,0.5851252,0.60259306
15857467890040,0.3703091,0.39658085,0.5851472,0.6026587
15857472648374,0.37018615,0.39656916,0.585168,0.60272175
15857477406759,0.3700661,0.39654455,0.585197,0.60278356
15857482165144,0.36994907,0.39652002,0.58522475,0.6028446
15857486923478,0.36984047,0.39649484,0.5852544,0.6028991
15857491681863,0.36972734,0.39646393,0.5852886,0.6029555
15857496440249,0.3696072,0.39642859,0.585327,0.60301507
15857501198634,0.36947995,0.3964085,0.585357,0.6030771
15857505956967,0.36935174,0.3963949,0.5853801,0.6031422
15857510715353,0.369216,0.39638603,0.5853984,0.60321337
