t_s,phase,gnss_x_m,gnss_y_m,gnss_speed,gnss_bearing_deg,gyro_heading_deg,heading_err_deg,imu_accel_speed,imu_accel_speed_err,last_speed,last_speed_err,ml_speed_raw,ml_speed,ml_speed_err,imu_x_m,imu_y_m,imu_pos_err_m,last_x_m,last_y_m,last_pos_err_m,ml_x_m,ml_y_m,ml_pos_err_m,ml_correction_vs_imu_m
9.5900,CALIB,-0.0460,0.0264,0.0000,116.5001,286.9897,170.4897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0460,0.0264,0.0000,-0.0460,0.0264,0.0000,-0.0460,0.0264,0.0000,0.0000
9.6900,CALIB,-0.0495,0.0262,0.0000,116.5001,286.9872,170.4871,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0495,0.0262,0.0000,-0.0495,0.0262,0.0000,-0.0495,0.0262,0.0000,0.0000
9.7900,CALIB,-0.0527,0.0255,0.0000,116.5001,286.9899,170.4899,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0527,0.0255,0.0000,-0.0527,0.0255,0.0000,-0.0527,0.0255,0.0000,0.0000
9.8900,CALIB,-0.0556,0.0245,0.0000,116.5001,286.9920,170.4919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0556,0.0245,0.0000,-0.0556,0.0245,0.0000,-0.0556,0.0245,0.0000,0.0000
9.9900,CALIB,-0.0582,0.0232,0.0000,116.5001,286.9899,170.4899,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0582,0.0232,0.0000,-0.0582,0.0232,0.0000,-0.0582,0.0232,0.0000,0.0000
10.0900,CALIB,-0.0607,0.0218,0.0000,116.5001,286.9861,170.4860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0607,0.0218,0.0000,-0.0607,0.0218,0.0000,-0.0607,0.0218,0.0000,0.0000
10.1900,CALIB,-0.0632,0.0204,0.0000,116.5001,286.9875,170.4874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0632,0.0204,0.0000,-0.0632,0.0204,0.0000,-0.0632,0.0204,0.0000,0.0000
10.2900,CALIB,-0.0656,0.0190,0.0000,116.5001,286.9839,170.4839,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0656,0.0190,0.0000,-0.0656,0.0190,0.0000,-0.0656,0.0190,0.0000,0.0000
10.3900,CALIB,-0.0682,0.0178,0.0000,116.5001,286.9826,170.4825,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0682,0.0178,0.0000,-0.0682,0.0178,0.0000,-0.0682,0.0178,0.0000,0.0000
10.4900,CALIB,-0.0708,0.0169,0.0000,116.5001,286.9829,170.4829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0708,0.0169,0.0000,-0.0708,0.0169,0.0000,-0.0708,0.0169,0.0000,0.0000
10.5900,CALIB,-0.0738,0.0164,0.0000,116.5001,286.9831,170.4830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0738,0.0164,0.0000,-0.0738,0.0164,0.0000,-0.0738,0.0164,0.0000,0.0000
10.6900,CALIB,-0.0770,0.0164,0.0000,116.5001,286.9830,170.4830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0770,0.0164,0.0000,-0.0770,0.0164,0.0000,-0.0770,0.0164,0.0000,0.0000
10.7900,CALIB,-0.0806,0.0169,0.0000,116.5001,286.9819,170.4818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0806,0.0169,0.0000,-0.0806,0.0169,0.0000,-0.0806,0.0169,0.0000,0.0000
10.8900,CALIB,-0.0845,0.0180,0.0000,116.5001,286.9813,170.4813,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0845,0.0180,0.0000,-0.0845,0.0180,0.0000,-0.0845,0.0180,0.0000,0.0000
10.9900,CALIB,-0.0885,0.0193,0.0000,116.5001,286.9817,170.4816,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0885,0.0193,0.0000,-0.0885,0.0193,0.0000,-0.0885,0.0193,0.0000,0.0000
11.0900,CALIB,-0.0927,0.0209,0.0000,116.5001,286.9820,170.4819,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0927,0.0209,0.0000,-0.0927,0.0209,0.0000,-0.0927,0.0209,0.0000,0.0000
11.1900,CALIB,-0.0969,0.0227,0.0000,116.5001,286.9801,170.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0969,0.0227,0.0000,-0.0969,0.0227,0.0000,-0.0969,0.0227,0.0000,0.0000
11.2900,CALIB,-0.1011,0.0245,0.0000,116.5001,286.9776,170.4776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1011,0.0245,0.0000,-0.1011,0.0245,0.0000,-0.1011,0.0245,0.0000,0.0000
11.3900,CALIB,-0.1052,0.0263,0.0000,116.5001,286.9779,170.4778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1052,0.0263,0.0000,-0.1052,0.0263,0.0000,-0.1052,0.0263,0.0000,0.0000
11.4900,CALIB,-0.1092,0.0279,0.0000,116.5001,286.9773,170.4773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1092,0.0279,0.0000,-0.1092,0.0279,0.0000,-0.1092,0.0279,0.0000,0.0000
11.5900,CALIB,-0.1129,0.0292,0.0000,116.5001,286.9789,170.4789,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1129,0.0292,0.0000,-0.1129,0.0292,0.0000,-0.1129,0.0292,0.0000,0.0000
11.6900,CALIB,-0.1164,0.0302,0.0000,116.5001,286.9779,170.4779,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1164,0.0302,0.0000,-0.1164,0.0302,0.0000,-0.1164,0.0302,0.0000,0.0000
11.7900,CALIB,-0.1199,0.0313,0.0000,116.5001,286.9754,170.4753,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1199,0.0313,0.0000,-0.1199,0.0313,0.0000,-0.1199,0.0313,0.0000,0.0000
11.8900,CALIB,-0.1235,0.0323,0.0000,116.5001,286.9767,170.4767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1235,0.0323,0.0000,-0.1235,0.0323,0.0000,-0.1235,0.0323,0.0000,0.0000
11.9900,CALIB,-0.1270,0.0334,0.0000,116.5001,286.9774,170.4773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1270,0.0334,0.0000,-0.1270,0.0334,0.0000,-0.1270,0.0334,0.0000,0.0000
