t_ns,qx,qy,qz,qw,heading_acc_rad
28041992288393,0.20554505,-0.20747139,-0.8166001,0.4978666,-1.0
28041997046414,0.20606072,-0.20781371,-0.816271,0.4980503,-1.0
28042001804435,0.20663472,-0.20821035,-0.81590605,0.49824482,-1.0
28042006562456,0.20725642,-0.208655,-0.8155066,0.49845454,-1.0
28042011320477,0.2078891,-0.20916452,-0.815075,0.4986834,-1.0
28042016078498,0.20850219,-0.20972943,-0.81463224,0.49891353,-1.0
28042020836518,0.2091034,-0.21035103,-0.8141681,0.49915782,-1.0
28042025594591,0.20970209,-0.2110244,-0.8136748,0.4994267,-1.0
28042030352612,0.21031688,-0.21174158,-0.81314343,0.49972996,-1.0
28042035110633,0.21095642,-0.21249671,-0.8125719,0.5000695,-1.0
28042039868654,0.2115995,-0.21328442,-0.81197584,0.50043046,-1.0
28042044626675,0.21222243,-0.21409814,-0.8113716,0.50079906,-1.0
28042049384696,0.21283022,-0.21493036,-0.8107587,0.50117713,-1.0
28042054142716,0.2134003,-0.21577829,-0.8101483,0.5015574,-1.0
28042058900737,0.21393918,-0.21662368,-0.8095414,0.5019431,-1.0
28042063658758,0.21444564,-0.21746801,-0.80893534,0.5023388,-1.0
28042068416779,0.21495451,-0.21829307,-0.8083219,0.5027509,-1.0
28042073174852,0.21545777,-0.21910346,-0.80769956,0.50318295,-1.0
28042077932873,0.21595234,-0.21988033,-0.80707467,0.50363445,-1.0
28042082690893,0.21644509,-0.2206227,-0.8064416,0.5041121,-1.0
28042087448914,0.21690826,-0.22132963,-0.8058131,0.50460804,-1.0
28042092206935,0.21733716,-0.22200838,-0.8051874,0.5051238,-1.0
28042096964956,0.21773595,-0.2226509,-0.804572,0.5056496,-1.0
28042101722977,0.21810023,-0.223254,-0.80396754,0.50618786,-1.0
28042106480998,0.21846986,-0.22380999,-0.80335903,0.5067487,-1.0
28042111239018,0.21885519,-0.2243051,-0.8027463,0.50733423,-1.0
28042115997039,0.21926616,-0.22473311,-0.8021297,0.50794226,-1.0
28042120755060,0.21970476,-0.22509688,-0.8015071,0.50857407,-1.0
28042125513081,0.2201921,-0.22539677,-0.8008693,0.50923485,-1.0
28042130271102,0.22070695,-0.22565302,-0.80021363,0.5099287,-1.0
28042135029175,0.22123584,-0.2258775,-0.7995465,0.51064616,-1.0
28042139787196,0.22176765,-0.22606698,-0.79887885,0.511376,-1.0
28042144545216,0.2222964,-0.22622837,-0.79820794,0.51212215,-1.0
28042149303237,0.2228116,-0.22637261,-0.797536,0.5128808,-1.0
28042154061258,0.22332278,-0.22651583,-0.79685235,0.51365733,-1.0
28042158819279,0.2238291,-0.22666223,-0.7961585,0.5144477,-1.0
28042163577300,0.22436035,-0.22679815,-0.79544765,0.5152554,-1.0
28042168335321,0.22491628,-0.22693115,-0.7947158,0.516083,-1.0
28042173093341,0.22567049,-0.22688234,-0.7935661,0.5175423,-1.0
28042177851362,0.22629552,-0.22698346,-0.79279494,0.5184062,-1.0
28042182609383,0.22717524,-0.22686814,-0.79153913,0.51998854,-1.0
28042187367456,0.2279109,-0.22694613,-0.7906981,0.5209113,-1.0
28042192125477,0.22886954,-0.22685969,-0.7894653,0.5223963,-1.0
28042196883498,0.22975758,-0.2269177,-0.7885193,0.52340907,-1.0
28042201641518,0.23084088,-0.22684997,-0.78723973,0.52488583,-1.0
28042206399487,0.23186244,-0.22689974,-0.7861766,0.5260063,-1.0
28042211157560,0.2329603,-0.22695668,-0.78504175,0.52719027,-1.0
28042215915581,0.23429295,-0.22684725,-0.78349113,0.52895063,-1.0
28042220673602,0.23556444,-0.2268824,-0.7822104,0.5302647,-1.0
28042225431623,0.2370793,-0.22672327,-0.78052914,0.53213173,-1.0
28042230189696,0.2385713,-0.22663605,-0.77911717,0.53356934,-1.0
28042234947716,0.24030806,-0.22632173,-0.77735204,0.5354945,-1.0
28042239705737,0.24206273,-0.22598402,-0.77581906,0.5370676,-1.0
28042244463758,0.244077,-0.22534496,-0.7739806,0.53907335,-1.0
28042249221779,0.24614221,-0.22461036,-0.7723423,0.5407879,-1.0
28042253979800,0.24847974,-0.22352195,-0.7703545,0.54300064,-1.0
28042258737821,0.25081855,-0.22232273,-0.7686073,0.5448903,-1.0
28042263495841,0.25341535,-0.22071695,-0.7664673,0.5473506,-1.0
28042268253862,0.2559775,-0.21901555,-0.76460123,0.5494476,-1.0
28042273011831,0.25873166,-0.21694346,-0.7623998,0.55203265,-1.0
28042277769904,0.26144415,-0.21474992,-0.7603846,0.55438673,-1.0
28042282527925,0.2642934,-0.21215907,-0.7580103,0.5572772,-1.0
28042287285998,0.2670038,-0.20948493,-0.7559056,0.5598497,-1.0
28042292044018,0.26980308,-0.20643333,-0.75345063,0.562942,-1.0
28042296802039,0.2724799,-0.20329766,-0.7512598,0.5657151,-1.0
28042301560060,0.27522105,-0.1998595,-0.7488358,0.56881845,-1.0
28042306318029,0.27791047,-0.19629906,-0.7465204,0.5717864,-1.0
28042311076102,0.28062353,-0.19254273,-0.7441315,0.57484436,-1.0
28042315834123,0.28340697,-0.18849088,-0.74145496,0.5782701,-1.0
28042320592143,0.2860936,-0.18439616,-0.73894626,0.58146966,-1.0
28042325350164,0.28888276,-0.1799822,-0.7360483,0.58513767,-1.0
28042330108237,0.29158783,-0.17556044,-0.7334217,0.58842814,-1.0
28042334866258,0.2944242,-0.17083222,-0.73048556,0.5920486,-1.0
28042339624279,0.29726097,-0.16602175,-0.7277525,0.5953562,-1.0
28042344382300,0.30000094,-0.16096938,-0.724721,0.5990557,-1.0
28042349140321,0.30266276,-0.1559227,-0.7220277,0.6022951,-1.0
28042353898341,0.30533987,-0.15066746,-0.7191699,0.60569096,-1.0
28042358656362,0.30789408,-0.1454294,-0.71653,0.608799,-1.0
28042363414383,0.3103626,-0.14007348,-0.7137794,0.61202407,-1.0
28042368172404,0.31263494,-0.13482803,-0.71128225,0.6149458,-1.0
28042372930425,0.31476754,-0.12952869,-0.70862186,0.6180605,-1.0
28042377688498,0.31662875,-0.12448859,-0.70630807,0.620788,-1.0
28042382446518,0.31834474,-0.11944063,-0.70372516,0.62382805,-1.0
28042387204539,0.31978738,-0.11478893,-0.70158374,0.6263703,-1.0
28042391962560,0.32108626,-0.11028799,-0.6993303,0.6290289,-1.0
28042396720581,0.32221335,-0.10614634,-0.697318,0.63139457,-1.0
28042401478602,0.32327643,-0.10218453,-0.69512653,0.6339162,-1.0
28042406236623,0.3242321,-0.09862258,-0.69318336,0.6361163,-1.0
28042410994643,0.32513416,-0.09536675,-0.6912716,0.6382292,-1.0
28042415752664,0.32604322,-0.092244945,-0.68901914,0.64065534,-1.0
28042420510737,0.3268251,-0.08966202,-0.6872052,0.6425691,-1.0
28042425268758,0.32756686,-0.08727097,-0.6851151,0.64474887,-1.0
28042430026779,0.32813385,-0.085477084,-0.683509,0.6464034,-1.0
28042434784748,0.32859403,-0.08401852,-0.6818363,0.6481251,-1.0
28042439542821,0.32888407,-0.08309823,-0.6805087,0.6494905,-1.0
28042444300841,0.32906765,-0.08245829,-0.6790423,0.651012,-1.0
28042449058862,0.3290939,-0.08238432,-0.67802256,0.6520701,-1.0
28042453816883,0.32908323,-0.082494035,-0.6767713,0.65336025,-1.0
28042458574904,0.32899043,-0.0831245,-0.6760063,0.65411854,-1.0
28042463332977,0.3289686,-0.08383949,-0.6749355,0.6551432,-1.0
28042468090998,0.32894528,-0.08497965,-0.67432606,0.6556355,-1.0
28042472849018,0.32903647,-0.086167365,-0.6734893,0.6562944,-1.0
28042477607039,0.32918182,-0.08764432,-0.6729732,0.65655524,-1.0
28042482365060,0.32946235,-0.08903682,-0.67210394,0.6571174,-1.0
28042487123081,0.3297635,-0.09072057,-0.6716593,0.65719074,-1.0
28042491881102,0.33017012,-0.092355974,-0.671037,0.65739435,-1.0
28042496639123,0.33063835,-0.094109125,-0.67062753,0.6573283,-1.0
28042501397143,0.33121133,-0.09584021,-0.6702088,0.6572167,-1.0
28042506155216,0.33193576,-0.097325556,-0.6693968,0.65746045,-1.0
28042510913237,0.33267182,-0.09892652,-0.6689578,0.6572963,-1.0
28042515671258,0.33346218,-0.1003368,-0.66832787,0.6573229,-1.0
28042520429279,0.33420035,-0.10175441,-0.66792244,0.65714216,-1.0
28042525187300,0.3348823,-0.10300735,-0.6674138,0.6571166,-1.0
28042529945321,0.33541536,-0.104247786,-0.66712433,0.65694296,-1.0
28042534703341,0.33584017,-0.10522006,-0.66654825,0.6571557,-1.0
28042539461362,0.33601758,-0.106300585,-0.6664413,0.6569995,-1.0
28042544219435,0.33603412,-0.107188,-0.666189,0.65710276,-1.0
28042548977456,0.33580455,-0.1081289,-0.66627854,0.65697515,-1.0
28042553735477,0.33541724,-0.108895995,-0.6662651,0.65705997,-1.0
28042558493498,0.33482113,-0.10969228,-0.6665344,0.65695834,-1.0
28042563251518,0.3341191,-0.110235594,-0.6665401,0.65721905,-1.0
28042568009539,0.33321032,-0.11089837,-0.6669827,0.6571198,-1.0
28042572767560,0.33222553,-0.111333065,-0.6671552,0.6573698,-1.0
28042577525581,0.33106977,-0.111908756,-0.6677597,0.65724134,-1.0
28042582283654,0.32986993,-0.11232973,-0.6681833,0.6573423,-1.0
28042587041675,0.3285581,-0.112864256,-0.66891694,0.6571616,-1.0
28042591799696,0.3272491,-0.11324747,-0.6693952,0.65726185,-1.0
28042596557716,0.32584885,-0.113801025,-0.6702278,0.6570133,-1.0
28042601315737,0.3244426,-0.11437354,-0.671092,0.65672773,-1.0
28042606073758,0.3231087,-0.11482512,-0.6716991,0.6566858,-1.0
