t_s,phase,gnss_x_m,gnss_y_m,gnss_speed,gnss_bearing_deg,gyro_heading_deg,heading_err_deg,imu_accel_speed,imu_accel_speed_err,last_speed,last_speed_err,ml_speed,ml_speed_err,imu_x_m,imu_y_m,imu_pos_err_m,last_x_m,last_y_m,last_pos_err_m,ml_x_m,ml_y_m,ml_pos_err_m,ml_correction_vs_imu_m
7.0900,CALIB,-0.0052,-0.0347,0.0000,1.1313,314.6990,-46.4323,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0052,-0.0347,0.0000,-0.0052,-0.0347,0.0000,-0.0052,-0.0347,0.0000,0.0000
7.1900,CALIB,-0.0005,-0.0140,0.0000,1.1313,314.7016,-46.4297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0005,-0.0140,0.0000,-0.0005,-0.0140,0.0000,-0.0005,-0.0140,0.0000,0.0000
7.2900,CALIB,0.0038,0.0069,0.0000,1.1313,314.6973,-46.4340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0038,0.0069,0.0000,0.0038,0.0069,0.0000,0.0038,0.0069,0.0000,0.0000
7.3900,CALIB,0.0079,0.0280,0.0000,1.1313,314.6915,-46.4399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0079,0.0280,0.0000,0.0079,0.0280,0.0000,0.0079,0.0280,0.0000,0.0000
7.4900,CALIB,0.0118,0.0492,0.0000,1.1313,314.6976,-46.4338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0118,0.0492,0.0000,0.0118,0.0492,0.0000,0.0118,0.0492,0.0000,0.0000
7.5900,CALIB,0.0156,0.0704,0.0000,1.1313,314.7035,-46.4278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0156,0.0704,0.0000,0.0156,0.0704,0.0000,0.0156,0.0704,0.0000,0.0000
7.6900,CALIB,0.0193,0.0915,0.0000,1.1313,314.7049,-46.4264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0193,0.0915,0.0000,0.0193,0.0915,0.0000,0.0193,0.0915,0.0000,0.0000
7.7900,CALIB,0.0231,0.1127,0.0000,1.1313,314.7060,-46.4253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0231,0.1127,0.0000,0.0231,0.1127,0.0000,0.0231,0.1127,0.0000,0.0000
7.8900,CALIB,0.0268,0.1337,0.0000,1.1313,314.7159,-46.4154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0268,0.1337,0.0000,0.0268,0.1337,0.0000,0.0268,0.1337,0.0000,0.0000
7.9900,CALIB,0.0307,0.1546,0.0000,1.1313,314.7156,-46.4157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0307,0.1546,0.0000,0.0307,0.1546,0.0000,0.0307,0.1546,0.0000,0.0000
8.0900,CALIB,0.0347,0.1752,0.0000,1.1313,314.7129,-46.4185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0347,0.1752,0.0000,0.0347,0.1752,0.0000,0.0347,0.1752,0.0000,0.0000
8.1900,CALIB,0.0389,0.1957,0.0000,1.1313,314.7031,-46.4282,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0389,0.1957,0.0000,0.0389,0.1957,0.0000,0.0389,0.1957,0.0000,0.0000
8.2900,CALIB,0.0436,0.2162,0.0000,1.1313,314.7003,-46.4311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0436,0.2162,0.0000,0.0436,0.2162,0.0000,0.0436,0.2162,0.0000,0.0000
8.3900,CALIB,0.0488,0.2374,0.0000,1.1313,314.7062,-46.4251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0488,0.2374,0.0000,0.0488,0.2374,0.0000,0.0488,0.2374,0.0000,0.0000
8.4900,CALIB,0.0545,0.2589,0.0000,1.1313,314.7091,-46.4223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0545,0.2589,0.0000,0.0545,0.2589,0.0000,0.0545,0.2589,0.0000,0.0000
