run,dir,n_win,n_moving,mae_raw,mae,bias,rmse,nll,cov68,sig_mean,mae_slow,false_stops,stop_latency_s,c10_drift_pct,c10_end_m,c10_after_stop_m,c10_rmse_m,c30_drift_pct,c30_end_m,c30_after_stop_m,c30_rmse_m,c60_drift_pct,c60_end_m,c60_after_stop_m,c60_rmse_m,turn_drift_pct,turn_end_m,turn_after_stop_m,turn_rmse_m,fold,cfg,model,rate,win,split,aug,seed,params,epochs,val_nll
2,BA,1011,936,0.11111889034509659,0.13964155316352844,0.06283682584762573,0.19853228330612183,-1.200133204460144,0.6399572649572649,0.12536579370498657,0.6555063724517822,0,0.7000000000000028,3.7070280079011844,10.417537091878202,10.563454603273595,4.799107360975359,4.122998854260558,8.650122744252917,8.875530106717635,3.5534486098047817,6.292483281752571,6.506341431795982,6.733325306144751,2.566865426504486,6.323724478231575,6.33363479839116,6.5606089228944215,2.4791712920137576,1,cnn_r100_w256_loro,cnn,100,256,loro,1,0,57602,18,-0.6491
3,AB,1087,939,0.10452088713645935,0.12520217895507812,0.03302253410220146,0.17153194546699524,-1.5128533840179443,0.5857294994675186,0.10769037157297134,0.3513214588165283,0,0.5999999999999943,2.3811187972836256,6.797727044714446,6.633657633502151,2.6429950202446726,3.6009553923774127,7.877859380414672,7.713557353888274,3.5163397551957734,6.404815170391749,6.761725904968443,6.608277950806916,3.109993969723323,3.6196001928449504,7.965515654145718,7.801205735791883,3.5478088283839155,2,cnn_r100_w256_loro,cnn,100,256,loro,1,0,57602,32,-1.6779
4,BA,932,832,0.0839337557554245,0.12676547467708588,-0.017713693901896477,0.18954624235630035,-1.7627183198928833,0.7692307692307693,0.12589813768863678,0.5133848786354065,0,0.7999999999999972,2.435048785617587,6.696812870169973,6.633852313267533,4.31284300105462,2.274803128340611,4.395325913936697,4.325306887669921,1.73915547012837,5.781816877302621,4.65400967657779,4.601477332625535,1.653578867799015,5.081726007796375,4.959348763938908,4.906210660659193,1.6713884674313433,3,cnn_r100_w256_loro,cnn,100,256,loro,1,0,57602,26,-1.5115
5,AB,1014,914,0.0988055169582367,0.1290387660264969,0.02175671048462391,0.21338357031345367,-1.5860804319381714,0.6827133479212254,0.12311410158872604,0.7069308757781982,0,0.3999999999999915,2.8797227782959034,8.1223472817978,7.843975555174544,2.3391328228568407,3.2606261459756976,6.922838219272166,6.644100204458545,2.736128700172892,6.66795795167988,6.949101010820948,6.705161771631436,2.203261187094401,3.279375793654881,7.312356538401672,7.03073138613012,2.730851145079188,4,cnn_r100_w256_loro,cnn,100,256,loro,1,0,57602,33,-1.4497
6,BA,946,854,0.09234310686588287,0.1110101044178009,-0.007942726835608482,0.16848912835121155,-1.6810343265533447,0.6721311475409836,0.10541762411594391,0.672629177570343,0,0.19999999999998863,1.1211381352258343,3.1849812993020397,3.3249575559300104,3.114344584391591,3.024179543358714,6.158887336740038,6.255718882112523,4.977821343046935,5.282543119367144,4.788084282347392,4.859766965803239,1.829230001678502,3.698127833894891,3.7905942479342642,3.9040622010707993,1.4228403269373269,5,cnn_r100_w256_loro,cnn,100,256,loro,1,0,57602,24,-1.4477
7,AB,1004,907,0.11071609705686569,0.15552197396755219,-0.05070594325661659,0.2407998889684677,-1.44808030128479,0.6504961411245865,0.12345125526189804,0.6449777483940125,0,0.10000000000000853,0.8654194160878177,2.4623190830854713,2.4148167276523167,2.427903474834178,1.8823372835031897,3.9866258447906007,4.047412839763096,2.413292064006435,3.7314972201903465,3.8518369685005123,4.071891199284463,1.3181198476559188,1.6762817775400656,3.7555629504244714,3.902842488052843,1.40733423261444,6,cnn_r100_w256_loro,cnn,100,256,loro,1,0,57602,26,-0.9632
9,BA,991,905,0.10780851542949677,0.13386698067188263,0.04731670394539833,0.18649032711982727,-1.482935905456543,0.5889502762430939,0.10977914929389954,0.6502925157546997,0,0.09999999999999432,2.3487129185793667,6.716061235840266,6.492055497074426,1.7730550007377281,3.92707328525656,8.635988585378135,8.205717005702752,2.834881885023389,6.505123357110261,6.968282040180261,6.646296670562881,2.71995267486217,6.912534405552197,7.025474201650761,6.715363268555119,2.862951877309205,7,cnn_r100_w256_loro,cnn,100,256,loro,1,0,57602,25,-1.3924
10,AB,775,673,0.23101679980754852,0.27712124586105347,-0.12996897101402283,0.3432179093360901,-0.6350008845329285,0.40564635958395245,0.17972593009471893,0.8126009702682495,0,0.09999999999999432,2.9601446111851897,8.068786415255557,8.112585361316624,4.899692560098453,3.0417520694679663,5.439860382482832,5.555429253027375,4.468495073383157,,,,,2.753334958938658,6.012190617488408,6.106230014319839,4.464786080186497,8,cnn_r100_w256_loro,cnn,100,256,loro,1,0,57602,22,-1.4048
11,BA,696,595,0.29432547092437744,0.2947489619255066,-0.03604920953512192,0.5539640188217163,-0.07809989154338837,0.5831932773109244,0.25373587012290955,1.0016275644302368,0,0.20000000000000284,0.13514154966640454,0.3628599178313909,1.1646338334824675,5.051966873658977,6.714859737955543,9.264717749266417,10.244265036455007,3.12381467122481,,,,,8.522841668361483,8.254468401816696,9.240911039723432,2.86288632577454,9,cnn_r100_w256_loro,cnn,100,256,loro,1,0,57602,21,-1.0822
12,AB,754,680,0.1873057633638382,0.2394811362028122,0.02913903072476387,0.3095845580101013,-1.0378073453903198,0.7147058823529412,0.2949073016643524,0.7683428525924683,0,0.10000000000000853,3.9766821477503362,11.119698002705489,11.985573641461743,3.513615371466944,5.103060426301939,9.751448663499772,10.631819718612514,3.8042101257316463,,,,,4.316949547005722,9.778541176382822,10.659483341501755,3.5728147843973272,10,cnn_r100_w256_loro,cnn,100,256,loro,1,0,57602,18,-1.2862
13,BA,767,646,0.21494661271572113,0.30511048436164856,-0.16196706891059875,0.4153183698654175,-1.0759855508804321,0.6888544891640866,0.2722568213939667,0.7385773062705994,0,2.0999999999999943,1.8890147689083565,4.999115199762086,5.112601723293232,6.302240535264097,6.1477892095734346,8.78270551225898,8.852302218739435,4.041443372589612,,,,,9.341168914498745,9.4740065106356,9.51702063994119,4.006457268896625,11,cnn_r100_w256_loro,cnn,100,256,loro,1,0,57602,28,-1.541
14,AB,757,684,0.15945632755756378,0.20675507187843323,-0.09369677305221558,0.3006837069988251,-0.8804793953895569,0.5350877192982456,0.14232991635799408,0.5442465543746948,0,0.10000000000000853,8.31616506321546,22.563812546522144,23.321035648264196,10.700751130850884,4.349740891329071,7.453623750740903,8.356340017223504,2.289307721914297,,,,,2.9053755678884086,6.5059912858149955,7.486509773200822,1.6721626688201598,12,cnn_r100_w256_loro,cnn,100,256,loro,1,0,57602,31,-1.5265
