t_ns,mx,my,mz,bx,by,bz
31153357063047,-25.987501,4.96875,20.4375,3.36,13.62,8.16
31153367063047,-26.343752,5.7937503,21.075,3.36,13.62,8.16
31153377063047,-25.800001,4.36875,20.737501,3.36,13.62,8.16
31153387063047,-24.300001,5.7000003,19.9125,3.36,13.62,8.16
31153397063047,-25.556252,5.90625,21.431252,3.36,13.62,8.16
31153407063047,-25.725,6.5062504,19.9125,3.36,13.62,8.16
31153417063047,-24.675001,5.26875,19.96875,3.36,13.62,8.16
31153427063047,-26.00625,5.71875,19.800001,3.36,13.62,8.16
31153437063047,-25.650002,5.26875,21.0,3.36,13.62,8.16
31153447063047,-26.343752,6.5437503,20.1375,3.36,13.62,8.16
31153457063047,-25.687502,6.01875,21.150002,3.36,13.62,8.16
31153467063047,-25.500002,6.1687503,20.962502,3.36,13.62,8.16
31153477063047,-25.66875,5.0062504,20.400002,3.36,13.62,8.16
31153487063047,-25.7625,6.5062504,20.98125,3.36,13.62,8.16
31153497063047,-25.368752,5.0437503,20.98125,3.36,13.62,8.16
31153507063047,-27.243752,4.93125,20.2875,3.36,13.62,8.16
31153517063047,-26.306252,5.7937503,19.987501,3.36,13.62,8.16
31153527063047,-25.968752,4.96875,19.987501,3.36,13.62,8.16
31153537063047,-28.06875,6.8250003,21.862501,3.36,13.62,8.16
31153547063047,-27.225,5.30625,21.806252,3.36,13.62,8.16
31153557063047,-25.5375,5.90625,20.6625,3.36,13.62,8.16
31153567063047,-25.368752,6.05625,21.112501,3.36,13.62,8.16
31153577063047,-26.75625,5.11875,20.831251,3.36,13.62,8.16
31153587063047,-24.562502,6.9187503,19.7625,3.36,13.62,8.16
31153597063047,-25.575,6.6562505,21.112501,3.36,13.62,8.16
31153607063047,-25.575,6.6562505,21.112501,3.36,13.62,8.16
31153617063047,-27.16875,4.55625,21.206251,3.36,13.62,8.16
31153627063047,-26.962502,5.9625,21.6,3.36,13.62,8.16
31153637063047,-25.743752,4.74375,21.0375,3.36,13.62,8.16
31153647063047,-26.025002,5.71875,20.587502,3.36,13.62,8.16
31153657063047,-24.91875,5.6062503,19.6875,3.36,13.62,8.16
31153667063047,-25.518751,5.15625,21.150002,3.36,13.62,8.16
31153677063047,-25.66875,6.01875,20.831251,3.36,13.62,8.16
31153687063047,-23.19375,6.4687505,18.525002,3.36,13.62,8.16
31153697063047,-24.88125,4.8562503,19.237501,3.36,13.62,8.16
31153707063047,-25.35,6.05625,20.493752,3.36,13.62,8.16
31153717063047,-23.90625,6.7500005,18.0,3.36,13.62,8.16
31153727063047,-23.1,6.3562503,19.743752,3.36,13.62,8.16
31153737063047,-25.425001,6.1687503,18.806252,3.36,13.62,8.16
31153747063047,-24.88125,5.86875,19.66875,3.36,13.62,8.16
31153757063047,-25.275002,6.05625,18.337502,3.36,13.62,8.16
31153767063047,-25.81875,5.86875,19.931252,3.36,13.62,8.16
31153777063047,-26.75625,5.11875,20.53125,3.36,13.62,8.16
31153787063047,-26.118752,4.8187504,19.087502,3.36,13.62,8.16
31153797063047,-24.675001,5.26875,19.66875,3.36,13.62,8.16
31153807063047,-25.893751,5.6062503,20.71875,3.36,13.62,8.16
31153817063047,-25.29375,5.0625,18.825,3.36,13.62,8.16
31153827063047,-26.5125,6.6562505,21.075,3.36,13.62,8.16
31153837063047,-27.54375,6.01875,20.75625,3.36,13.62,8.16
31153847063047,-25.237501,5.7000003,19.875,3.36,13.62,8.16
31153857063047,-26.625002,4.2562504,21.618752,3.36,13.62,8.16
31153867063047,-27.2625,4.6687503,19.987501,3.36,13.62,8.16
31153877063047,-24.0375,4.4812503,19.9125,3.36,13.62,8.16
31153887063047,-25.368752,6.3187504,22.1625,3.36,13.62,8.16
31153897063047,-24.468752,5.4187503,19.181252,3.36,13.62,8.16
31153907063047,-25.031252,4.96875,19.40625,3.36,13.62,8.16
31153917063047,-25.800001,4.36875,20.737501,3.36,13.62,8.16
31153927063047,-25.968752,6.2250004,21.16875,3.36,13.62,8.16
31153937063047,-25.5375,4.89375,20.550001,3.36,13.62,8.16
31153947063047,-24.91875,5.86875,20.75625,3.36,13.62,8.16
31153957063047,-25.35,5.30625,21.431252,3.36,13.62,8.16
31153967063047,-25.725,5.7562504,20.85,3.36,13.62,8.16
31153977063047,-24.993752,5.2312503,20.00625,3.36,13.62,8.16
31153987063047,-25.3875,5.7937503,20.493752,3.36,13.62,8.16
31153997063047,-26.362501,5.15625,18.337502,3.36,13.62,8.16
31154007063047,-26.737501,4.5,21.768751,3.36,13.62,8.16
31154017063047,-26.00625,6.2250004,22.25625,3.36,13.62,8.16
31154027063047,-24.393751,7.0687504,20.34375,3.36,13.62,8.16
31154037063047,-25.7625,6.1312504,19.3125,3.36,13.62,8.16
