t_ns,gx,gy,gz,bx,by,bz
18915764562504,-0.09529491,-0.17776164,0.09957096,-0.011551892,6.854045E-4,0.006857684
18915766941671,-0.04214967,-0.3420843,0.09407318,-0.011551892,6.854045E-4,0.006857684
18915769320838,-0.020158539,-0.3176497,0.20341797,-0.011551892,6.854045E-4,0.006857684
18915771700056,-0.08429934,-0.1472184,0.20891576,-0.011551892,6.854045E-4,0.006857684
18915774079275,-0.07696896,-0.07574723,0.17653993,-0.011551892,6.854045E-4,0.006857684
18915776458442,-0.0067195124,-0.17653993,0.06780599,-0.011551892,6.854045E-4,0.006857684
18915778837661,0.0537561,-0.30421066,0.06352994,-0.011551892,6.854045E-4,0.006857684
18915781216827,0.007941242,-0.12705988,0.073303774,-0.011551892,6.854045E-4,0.006857684
18915783595994,-0.11178826,-0.022601997,0.06108648,-0.011551892,6.854045E-4,0.006857684
18915785975265,-0.11606431,0.06780599,0.047647454,-0.011551892,6.854045E-4,0.006857684
18915788354484,-0.05070178,0.025045456,-0.056199558,-0.011551892,6.854045E-4,0.006857684
18915790733650,0.06902772,0.031154104,-0.055588696,-0.011551892,6.854045E-4,0.006857684
18915793112817,0.106290475,0.13439025,-0.032375835,-0.011551892,6.854045E-4,0.006857684
18915795492036,0.067195125,0.22296564,-0.040317077,-0.011551892,6.854045E-4,0.006857684
18915797871254,0.07696896,0.2913825,-0.056810424,-0.011551892,6.854045E-4,0.006857684
18915800250421,0.10445788,0.20586143,-0.115453444,-0.011551892,6.854045E-4,0.006857684
18915802629640,0.1802051,0.19486587,-0.11362085,-0.011551892,6.854045E-4,0.006857684
18915805008859,0.19792019,0.17653993,-0.07513637,-0.011551892,6.854045E-4,0.006857684
18915807388025,0.16371176,0.17898338,-0.03054324,-0.011551892,6.854045E-4,0.006857684
18915809767244,0.09346231,0.058032155,-0.0048869182,-0.011551892,6.854045E-4,0.006857684
18915812146463,0.08613193,0.035430156,0.0067195124,-0.011551892,6.854045E-4,0.006857684
18915814525629,0.12095123,0.017104214,0.022601997,-0.011551892,6.854045E-4,0.006857684
18915816904796,0.15210533,-0.008552107,-0.026267186,-0.011551892,6.854045E-4,0.006857684
18915819284015,0.20402883,-0.032986697,0.0,-0.011551892,6.854045E-4,0.006857684
18915821663234,0.15210533,-0.09529491,-0.05864302,-0.011551892,6.854045E-4,0.006857684
18915824042400,0.1197295,-0.1178969,-0.0012217296,-0.011551892,6.854045E-4,0.006857684
18915826421619,0.08613193,-0.04703659,0.06475167,-0.011551892,6.854045E-4,0.006857684
18915828800838,0.02443459,-0.06658426,0.035430156,-0.011551892,6.854045E-4,0.006857684
18915831180004,0.042760536,-0.07269291,0.010384701,-0.011551892,6.854045E-4,0.006857684
