t_ns,gx,gy,gz
19033093997198,0.21843539,8.942724,4.018748
19033098755584,0.22341812,8.942936,4.018007
19033103514021,0.22690476,8.943085,4.01748
19033108272407,0.22852172,8.943215,4.0170956
19033113030792,0.22854684,8.943334,4.016831
19033117789125,0.2276007,8.943439,4.016652
19033122547563,0.2265297,8.943322,4.0169725
19033127305948,0.2266327,8.943065,4.01754
19033132064334,0.2285399,8.942728,4.0181813
19033136822719,0.23258543,8.942253,4.0190053
19033141581104,0.23819092,8.9418,4.0196824
19033146339542,0.24480963,8.941552,4.019839
19033151097927,0.2512286,8.941522,4.01951
19033155856313,0.25718343,8.941619,4.0189185
19033160614698,0.26199067,8.941696,4.018436
19033165373084,0.26548448,8.941759,4.018062
19033170131469,0.2679506,8.941855,4.017687
19033174889854,0.26972035,8.941861,4.0175576
19033179648240,0.27130854,8.941816,4.017551
19033184406625,0.2734586,8.9417515,4.0175467
19033189165063,0.27632084,8.941593,4.017702
19033193923396,0.2798964,8.941409,4.0178657
19033198681834,0.2838485,8.941151,4.0181637
19033203440219,0.28744385,8.940904,4.018456
19033208198604,0.29022494,8.940621,4.018886
19033212956990,0.29206708,8.940308,4.019451
19033217715375,0.2928854,8.9398,4.02052
19033222473761,0.29319414,8.938988,4.022304
19033227232146,0.29347497,8.938085,4.024288
19033231990532,0.2946017,8.937106,4.0263796
19033236748917,0.29707572,8.936116,4.0283923
19033241507354,0.30102673,8.935079,4.0304027
19033246265740,0.3063435,8.934277,4.031779
19033251024125,0.313191,8.933806,4.0322943
19033255782511,0.32066154,8.933579,4.032212
19033260540896,0.32801247,8.933734,4.031276
19033265299282,0.33465934,8.934237,4.0296173
19033270057667,0.34038752,8.934945,4.027564
19033274816052,0.34527025,8.9356785,4.025521
19033279574438,0.34974524,8.936498,4.0233154
19033284332823,0.35411805,8.937177,4.0214233
19033289091209,0.35902745,8.937551,4.02016
19033293849594,0.36422512,8.937691,4.0193787
19033298608032,0.36982214,8.937845,4.018526
19033303366417,0.37539247,8.937851,4.0179935
19033308124802,0.38038254,8.937584,4.018119
19033312883188,0.38466597,8.937145,4.0186877
19033317641573,0.38815552,8.93658,4.0196095
19033322399959,0.39108074,8.935895,4.0208488
19033327158344,0.39368153,8.9351,4.0223637
19033331916729,0.39665735,8.93428,4.023889
19033336675115,0.400421,8.933523,4.0251985
