run,dir,variant,cut,t_cut,bias_cut_dps,bias_oracle_dps,bias_stand_dps,n,mean_deg,rms_deg,max_abs_deg,drift_deg,start_err_deg,end_err_deg,outage_s,brg_mean_deg,brg_rms_deg,brg_drift_deg
12,BA,kfct,c30,30.0,0.01,0.017,0.013,246,0.59,3.31,10.68,2.44,-0.47,1.97,251.94,0.47,2.43,1.61
12,BA,kfct,c60,60.0,0.01,0.017,0.013,216,0.68,3.4,10.64,3.21,-1.35,1.86,221.94,0.51,2.49,0.62
12,BA,kfct,turn,128.4,0.023,0.017,0.013,148,-1.59,3.86,11.13,0.33,-1.66,-1.33,153.51,-1.89,3.21,-2.84
2,AB,kfc_loose,c10,10.0,0.454,-0.038,-0.022,237,-58.03,67.69,121.23,-119.66,0.01,-119.65,243.51,-57.56,66.87,-119.73
2,AB,kfc_loose,c30,30.0,0.1,-0.038,-0.022,217,-14.77,16.98,33.32,-28.07,-2.15,-30.23,223.51,-14.19,16.29,-28.81
2,AB,kfc_loose,c60,60.0,-0.03,-0.038,-0.022,187,1.99,4.49,12.58,1.85,-0.63,1.22,193.51,2.69,5.77,1.08
2,AB,kfc_loose,turn,123.3,-0.036,-0.038,-0.022,124,4.17,5.98,13.33,9.2,-6.64,2.56,130.2,5.27,7.38,11.23
3,BA,kfc_loose,c10,10.0,0.007,-0.027,0.001,202,-2.76,4.25,9.96,-9.41,1.63,-7.79,224.0,-1.93,4.33,-8.69
3,BA,kfc_loose,c30,30.0,0.045,-0.027,0.001,182,-8.12,9.47,18.32,-16.33,0.25,-16.08,204.0,-7.24,9.12,-15.83
3,BA,kfc_loose,c60,60.0,-0.017,-0.027,0.001,151,-2.21,2.94,6.7,-4.55,0.24,-4.32,174.0,-1.52,3.26,-6.71
3,BA,kfc_loose,turn,82.7,-0.007,-0.027,0.001,129,-3.86,4.24,8.29,-4.16,-1.99,-6.15,151.28,-3.05,4.23,-10.04
4,AB,kfc_loose,c10,10.0,1.22,0.002,0.015,231,-12.64,115.85,179.54,86.41,-6.69,79.71,238.23,-11.3,115.56,86.96
4,AB,kfc_loose,c30,30.0,-0.024,0.002,0.015,212,3.32,4.41,9.25,6.89,-0.67,6.22,218.23,3.14,3.97,5.82
4,AB,kfc_loose,c60,60.0,-0.008,0.002,0.015,181,1.78,2.86,6.53,1.55,1.14,2.7,188.23,1.52,2.37,1.19
4,AB,kfc_loose,turn,132.1,-0.004,0.002,0.015,109,1.84,2.72,6.07,0.04,1.86,1.89,116.08,1.54,2.28,-0.03
5,BA,kfc_loose,c10,10.0,0.583,0.019,0.016,241,-69.83,80.4,139.26,-135.56,-1.56,-137.13,245.54,-69.86,80.47,-135.66
5,BA,kfc_loose,c30,30.0,0.005,0.019,0.016,221,1.07,2.45,6.41,3.06,-1.15,1.91,225.54,1.07,1.96,1.61
5,BA,kfc_loose,c60,60.0,-0.005,0.019,0.016,191,2.53,3.43,8.02,3.37,0.72,4.1,195.54,2.47,3.01,2.09
5,BA,kfc_loose,turn,107.9,0.018,0.019,0.016,143,-0.59,2.42,8.87,0.31,-1.13,-0.82,147.65,-0.72,1.91,-2.33
6,AB,kfc_loose,c10,10.0,0.024,-0.002,0.008,192,-0.32,1.95,5.36,1.12,0.47,1.59,196.21,0.75,3.17,-2.1
6,AB,kfc_loose,c30,30.0,0.092,-0.002,0.008,172,-6.87,7.88,15.97,-10.25,-0.3,-10.55,176.21,-5.64,7.54,-15.3
